Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
TE7_1,CL,CLO_0009319,CLO_0009319,CL_0000076,-,UBERON_0001043,-,-,BTO_0001926
VCaP_prostate_carcinoma_SH3_DHT,CL,CLO_0037117,CLO_0037117,CL_0002231,-,UBERON_0002367,UBERON_0002367,BTO_0003215,BTO_0003215
hMSC-TERT,CL,-,CLO_0050433,CL_0000134,CL_0002569,UBERON_0002371,UBERON_0003422,-,BTO_0001209
HeLaS3,CL,CLO_0003696,CLO_0003699,CL_0002535,CL_1001587,UBERON_0000002,UBERON_0004801,BTO_0000568,BTO_0000568
A549 DMSO,CL,CLO_0001601,CLO_0001601,CL_0000082,CL_1000272,UBERON_0002048,UBERON_0002048,BTO_0000018,BTO_0005816
HCT116 TP53-/-_Nutlin3A,CL,CLO_0003665,CLO_0003665,CL_0011108,CL_0011108,UBERON_0001155,UBERON_0001155,BTO_0001109,BTO_0001109
HUVECs_TNF0min,CL,CLO_0004307,CLO_0004307,CL_0002618,CL_0002618,UBERON_0002331,UBERON_0002331,BTO_0001949,BTO_0001949
gm12891,CL,CLO_0022859,CLO_0022859,CL_0000236,-,UBERON_0000178,-,-,-
PANC1_2,CL,CLO_0008381,CLO_0000238,CL_0000169,CL_0002079,UBERON_0001264,UBERON_0001264,BTO_0000304,BTO_0000304
GM18486,CL,CLO_0024943,CLO_0024943,CL_0000236,-,UBERON_0000178,-,-,-
IMR90_#2,CL,CLO_0006951,CLO_0006951,CL_0002553,CL_0002553,UBERON_0002048,UBERON_0002048,BTO_0001229,BTO_0000161
T (PB),CL,-,-,CL_0000084,CL_0000084,UBERON_0000178,-,BTO_0000782,BTO_0000782
V389,CL,-,-,CL_0011108,-,UBERON_0001155,-,-,-
CRC_17A,CL,-,-,CL_0011108,-,UBERON_0001155,UBERON_0012652,-,BTO_0001616
LY1,CL,-,-,CL_0000236,-,UBERON_0000178,-,-,-
LREX,CL,-,-,CL_0002231,-,UBERON_0002367,-,-,-
TTC549_Doxycycline,CL,-,-,-,-,UBERON_0002107,-,-,-
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,-,CLO_0037299,CL_0011020,CL_0011020,UBERON_0000922,UBERON_0010313,-,BTO_0006080
GLC16,CL,-,-,CL_0000082,-,UBERON_0002048,UBERON_0002048,-,BTO_0002206
FLP76,CL,-,-,CL_1000497,-,UBERON_0002113,-,-,-
Stromal_heart_2,CT,-,-,CL_0000499,CL_0000499,UBERON_0000948,UBERON_0000948,-,-
Macrophages_GM-CSF_72h,CT,-,-,CL_0000235,CL_0000235,UBERON_0000178,-,BTO_0000801,BTO_0000801
Ik6pre-BALL+TET-emptyvector,CT,-,CLO_0037300,CL_0000988,-,UBERON_0000178,-,-,BTO_0001148
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,CLO_0037326,CL_0002540,CL_0000134,UBERON_0002371,UBERON_0002371,-,BTO_0003298
ILC1,CT,-,-,CL_0001067,CL_0001068,UBERON_0002405,UBERON_0001744,-,-
DIPGIV,CT,-,-,CL_0000125,-,UBERON_0000955,-,-,-
EM CD4+ ab T (PB),CT,-,-,CL_0000624,CL_0000492,UBERON_0000178,-,-,-
B_B,CT,-,-,CL_0000236,CL_0000821,UBERON_0000178,-,BTO_0000776,-
CD8 Naive 8pool,CT,-,-,CL_0000900,CL_0000900,UBERON_0002370,UBERON_0002370,-,-
Preadipocyte - subcutaneous donor2,CT,-,-,CL_0002334,CL_0002583,UBERON_0002190,UBERON_0002190,BTO_0001107,-
CD14+ monocytes - treated with IFN + N-hexane donor2,CT,-,-,CL_0001054,CL_0001054,UBERON_0000178,-,BTO_0000876,-
tamoxifen_EC5,CT,-,-,CL_0002149,CL_0000577,UBERON_0001295,-,-,-
Matrix_Fibrob_2_E,CT,-,-,CL_0000057,-,UBERON_0002384,-,BTO_0000452,-
B_C,CT,-,-,CL_0000236,-,UBERON_0000178,-,BTO_0000776,-
STAD,CT,-,-,CL_0002659,-,UBERON_0000945,-,BTO_0000036,-
pDC,CT,-,-,CL_0000784,CL_0000784,UBERON_0000178,-,BTO_0004625,BTO_0004625
astrocyte_of_the_spinal_cord,CT,-,-,CL_0002606,CL_0002606,UBERON_0002240,UBERON_0002240,-,-
Chondrocyte - re diff donor3,CT,-,-,CL_0000138,CL_0000138,UBERON_0002418,-,BTO_0000249,BTO_0000249
breast_tumour_metastasis,CT,-,-,-,-,UBERON_0000310,UBERON_0000310,BTO_0000150,-
Megakaryo_adrenal,CT,-,-,CL_0000556,CL_0000556,UBERON_0002369,UBERON_0002369,-,BTO_0000843
left ventricle_DCM_LV1009,A,-,-,CL_0002494,-,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001629
Fetal_Kidney,A,-,-,CL_1000497,-,UBERON_0002113,UBERON_0002113,BTO_0000671,BTO_0000671
Fetal Brain Male,A,-,-,CL_0002319,-,UBERON_0000955,UBERON_0000955,BTO_0000142,BTO_0000142
liver,A,-,-,CL_0000182,-,UBERON_0002107,UBERON_0002107,BTO_0000759,BTO_0000759
heart adult diseased post-infarction donor1,A,-,-,CL_0002494,-,UBERON_0000948,UBERON_0000948,-,BTO_0000562
germinal matrix,A,-,-,CL_0002319,-,UBERON_0000955,UBERON_0004022,-,-
submaxillary gland adult,A,-,-,CL_0000151,-,UBERON_0001736,UBERON_0001736,BTO_0001316,BTO_0001316
Skin_Sun_Exposed_Lower_leg,A,-,-,CL_0000066,-,UBERON_0001003,UBERON_0004264,-,BTO_0000721
testis adult pool2,A,-,-,-,-,UBERON_0000473,UBERON_0000473,BTO_0001363,BTO_0001363
Brain Hippocampus Middle 150,A,-,-,CL_0002319,-,UBERON_0002421,-,BTO_0000601,BTO_0000601
