Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
left ventricle_DCM_LV1009,A,-,immortal heart-derived cell line cell,cardiocyte,cardiocyte,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Fetal_Kidney,A,-,immortal kidney-derived cell line cell,kidney cell,kidney cell,kidney,kidney,kidney,kidney
Fetal Brain Male,A,-,immortal brain-derived cell line cell,neural cell,-,brain,future brain,brain,embryonic brain
liver,A,-,immortal liver-derived cell line cell,hepatocyte,hepatocyte,liver,liver,liver,liver
heart adult diseased post-infarction donor1,A,-,immortal heart-derived cell line cell,cardiocyte,cardiocyte,heart,heart,-,heart
germinal matrix,A,-,immortal bone marrow-derived cell line cell,neural cell,centrocyte,brain,germinal center,-,germinal center
submaxillary gland adult,A,-,immortal submandibular gland-derived cell line cell,secretory cell,salivary gland glandular cell,submandibular gland,submandibular gland,submandibular gland,submandibular gland
Skin_Sun_Exposed_Lower_leg,A,-,immortal skin-derived cell line cell,epithelial cell,epidermal cell,skin epidermis,lower leg skin,-,skin
testis adult pool2,A,-,immortal gonad-derived cell line cell,-,Sertoli cell,testis,testis,testis,testis
Brain Hippocampus Middle 150,A,-,immortal brain-derived cell line cell,neural cell,-,hippocampal formation,hippocampal formation,hippocampus,hippocampus
TE7_1,CL,TE7 cell,TE7 cell,squamous epithelial cell,esophagus non-keratinized squamous epithelial cell,esophagus,esophagus squamous epithelium,-,esophageal adenocarcinoma cell
VCaP_prostate_carcinoma_SH3_DHT,CL,VCaP cell,VCaP cell,epithelial cell of prostate,endocrine-paracrine cell of prostate gland,prostate gland,prostate gland stroma,VCaP cell,prostate gland stromal cell
hMSC-TERT,CL,-,mesenchymal stem cell line cell,mesenchymal stem cell,mesenchymal stem cell,bone marrow,-,-,mesenchymal stem cell
HeLaS3,CL,HeLa S3 cell,HELA-S3 cell,epithelial cell of cervix,uterine cervix secretory cell,uterine cervix,uterine cervix,HeLa-S3 cell,HeLa-S3 cell
A549 DMSO,CL,A549 cell,A549 cell,epithelial cell of lung,epithelial cell of lung,lung,lung epithelium,A-549 cell,A-549 cell
HCT116 TP53-/-_Nutlin3A,CL,HCT 116 cell,HCT 116 cell,colon epithelial cell,colon epithelial cell,colon,colonic epithelium,HCT-116 cell,HCT-116 cell
HUVECs_TNF0min,CL,HUV-EC-C cell,immortal human vasculature-derived endothelial cell line cell',endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical cord,umbilical blood vessel,HUVEC cell,HUVEC cell
gm12891,CL,GM12891 cell,GM12891 cell,B cell,peripheral blood lymphocyte,blood,blood,-,B-lymphocyte cell line
PANC1_2,CL,PANC-1 cell,PANC-1 cell,type B pancreatic cell,pancreatic ductal cell,pancreas,epithelium of pancreatic duct,PANC-1 cell,PANC-1 cell
GM18486,CL,GM18486 cell,GM18486 cell,B cell,peripheral blood lymphocyte,blood,blood,-,B-lymphocyte cell line
IMR90_#2,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,fibroblast of lung,lung,lung,IMR-90 cell,IMR-90 cell
T (PB),CL,-,immortal T cell line cell,T cell,peripheral blood lymphocyte,blood,blood,T-lymphocyte,peripheral blood lymphocyte
V389,CL,-,immortal human colon-derived cell line cell,colon epithelial cell,colon epithelial cell,colon,colonic epithelium,-,VACO cell
CRC_17A,CL,-,immortal colon-derived cell line cell,colon epithelial cell,colon epithelial cell,colon,colonic epithelium,-,colorectal cancer cell line
LY1,CL,-,immortal cell line cell,B cell,nasopharyngeal epithelial cell,blood,epithelium of nasopharynx,-,nasopharyngeal carcinoma cell line
LREX,CL,-,immortal human prostate gland-derived cell line cell,epithelial cell of prostate,endocrine-paracrine cell of prostate gland,prostate gland,prostate gland,-,prostate gland cancer cell
TTC549_Doxycycline,CL,-,immortal human liver-derived cell line cell,-,hepatocyte,liver,liver,-,liver cancer cell
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,-,H1-neuron,neural progenitor cell,embryonic stem cell,embryo,blastocyst,-,hESC cell
GLC16,CL,-,immortal human lung-derived cell line cell,epithelial cell of lung,epithelial cell of lung,lung,lung epithelium,-,lung epithelium cell line
FLP76,CL,-,immortal human kidney-derived epithelial cell line cell,kidney cell,kidney epithelial cell,kidney,kidney,-,renal epithelial cell
Stromal_heart_2,CT,-,immortal stromal cell line cell,stromal cell,stromal cell,heart,stroma,-,stromal cell
Macrophages_GM-CSF_72h,CT,-,immortal tissue-resident macrophage cell line cell,macrophage,macrophage,blood,-,macrophage,macrophage
Ik6pre-BALL+TET-emptyvector,CT,-,BALL-1 cell,hematopoietic cell,B cell,blood,-,-,BALL-1 cell
