Label,Type,CLO_C,CL_C,UBERON_C,BTO_C,CLO_M,CL_M,UBERON_M,BTO_M
left ventricle_DCM_LV1009,A,-,-,heart left ventricle,left ventricle,immortal heart-derived cell line cell,cardiocyte,heart left ventricle,left ventricle
Fetal_Kidney,A,-,-,kidney,kidney,immortal kidney-derived cell line cell,kidney cell,kidney,kidney
Fetal Brain Male,A,-,-,brain,brain,immortal brain-derived cell line cell,-,future brain,embryonic brain
liver,A,-,-,liver,liver,immortal liver-derived cell line cell,hepatocyte,liver,liver
heart adult diseased post-infarction donor1,A,-,-,heart,heart,immortal heart-derived cell line cell,cardiocyte,heart,heart
germinal matrix,A,-,-,germinal neuroepithelium,-,immortal bone marrow-derived cell line cell,centrocyte,germinal center,germinal center
submaxillary gland adult,A,-,-,submandibular gland,submandibular gland,immortal submandibular gland-derived cell line cell,salivary gland glandular cell,submandibular gland,submandibular gland
Skin_Sun_Exposed_Lower_leg,A,-,-,lower leg skin,leg,immortal skin-derived cell line cell,epidermal cell,lower leg skin,skin
testis adult pool2,A,-,-,testis,testis,immortal gonad-derived cell line cell,Sertoli cell,testis,testis
Brain Hippocampus Middle 150,A,-,-,-,hippocampus,immortal brain-derived cell line cell,-,hippocampal formation,hippocampus
TE7_1,CL,TE7 cell,-,-,hybridoma cell line,TE7 cell,esophagus non-keratinized squamous epithelial cell,esophagus squamous epithelium,esophageal adenocarcinoma cell
VCaP_prostate_carcinoma_SH3_DHT,CL,VCaP cell,-,prostate gland,VCaP cell,VCaP cell,endocrine-paracrine cell of prostate gland,prostate gland stroma,prostate gland stromal cell
hMSC-TERT,CL,RCB2079 cell,mesenchymal stem cell of umbilical cord,mesenchyme of umbilical cord,umbilical cord cell line,mesenchymal stem cell line cell,mesenchymal stem cell,-,mesenchymal stem cell
HeLaS3,CL,HELA-S3 cell,uterine cervix secretory cell,cervix epithelium,HeLa-S3 cell,HELA-S3 cell,uterine cervix secretory cell,uterine cervix,HeLa-S3 cell
A549 DMSO,CL,A549 cell,lung secretory cell,lung,A549-CR cell,A549 cell,epithelial cell of lung,lung epithelium,A-549 cell
HCT116 TP53-/-_Nutlin3A,CL,HCT 116 cell,colon epithelial cell,colon,HCT-116 cell,HCT 116 cell,colon epithelial cell,colonic epithelium,HCT-116 cell
HUVECs_TNF0min,CL,HUV-EC-C cell,endothelial cell of umbilical vein,umbilical cord,HUVEC cell,immortal human vasculature-derived endothelial cell line cell',endothelial cell of umbilical vein,umbilical blood vessel,HUVEC cell
gm12891,CL,GM12891 cell,-,-,-,GM12891 cell,peripheral blood lymphocyte,blood,B-lymphocyte cell line
PANC1_2,CL,immortal pancreas-derived cell line cell,pancreatic ductal cell,pancreas,PANC-1 cell,PANC-1 cell,pancreatic ductal cell,epithelium of pancreatic duct,PANC-1 cell
GM18486,CL,GM18486 cell,-,-,-,GM18486 cell,peripheral blood lymphocyte,blood,B-lymphocyte cell line
IMR90_#2,CL,IMR-90 cell,fibroblast of lung,lung,lung fibroblast cell line,IMR-90 cell,fibroblast of lung,lung,IMR-90 cell
T (PB),CL,-,T cell,-,T-lymphocyte,immortal T cell line cell,peripheral blood lymphocyte,blood,peripheral blood lymphocyte
V389,CL,-,-,-,-,immortal human colon-derived cell line cell,colon epithelial cell,colonic epithelium,VACO cell
CRC_17A,CL,-,-,colorectum,colorectal cancer cell line,immortal colon-derived cell line cell,colon epithelial cell,colonic epithelium,colorectal cancer cell line
LY1,CL,-,-,-,-,immortal cell line cell,nasopharyngeal epithelial cell,epithelium of nasopharynx,nasopharyngeal carcinoma cell line
LREX,CL,-,-,-,-,immortal human prostate gland-derived cell line cell,endocrine-paracrine cell of prostate gland,prostate gland,prostate gland cancer cell
TTC549_Doxycycline,CL,-,-,-,-,immortal human liver-derived cell line cell,hepatocyte,liver,liver cancer cell
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,H1-neuron,neural progenitor cell,neural crest-derived structure,hESC cell,H1-neuron,embryonic stem cell,blastocyst,hESC cell
GLC16,CL,-,-,lung,small cell lung cancer cell line,immortal human lung-derived cell line cell,epithelial cell of lung,lung epithelium,lung epithelium cell line
FLP76,CL,-,-,-,-,immortal human kidney-derived epithelial cell line cell,kidney epithelial cell,kidney,renal epithelial cell
Stromal_heart_2,CT,-,stromal cell,heart,-,immortal stromal cell line cell,stromal cell,stroma,stromal cell
Macrophages_GM-CSF_72h,CT,-,macrophage,-,macrophage,immortal tissue-resident macrophage cell line cell,macrophage,-,macrophage
Ik6pre-BALL+TET-emptyvector,CT,BALL-1 cell,-,-,BALL-1 cell,BALL-1 cell,B cell,-,BALL-1 cell
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,primary cultured bone marrow cell,mesenchymal stem cell,bone marrow,mesenchymal stem cell,immortal human bone marrow-derived cell line cell,mesenchymal stem cell of the bone marrow,bone marrow,bone marrow stem cell
ILC1,CT,-,ILC1,lymphoid tissue,-,immortal human lymphoid follicle-derived cell line cell,group 1 innate lymphoid cell,immune system,lymphoid cell line
DIPGIV,CT,-,-,-,-,-,-,pons,DIPG-4 cell
EM CD4+ ab T (PB),CT,-,CD4-positive helper T cell,-,-,immortal alpha-beta T cell line cell,"CD4-positive, alpha-beta T cell",blood,T-lymphocyte cell line
B_B,CT,-,B-1b B cell,-,-,immortal B cell line cell,B cell,immune organ,B-lymphocyte
