Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
TE7_1,CL,CLO_0009319,-,CL_0000076,-,UBERON_0001043,UBERON_0001043,-,-
Stromal_heart_2,CT,-,-,CL_0000499,CL_0000499,UBERON_0000948,UBERON_0000948,-,BTO_0000804
VCaP_prostate_carcinoma_SH3_DHT,CL,CLO_0037117,CLO_0037117,CL_0002231,CL_0002231,UBERON_0002367,UBERON_0002367,BTO_0003215,BTO_0003215
hMSC-TERT,CL,-,-,CL_0000134,CL_0000134,UBERON_0002371,UBERON_0002371,-,BTO_000424k
HeLaS3,CL,CLO_0003696,CLO_0037239,CL_0002535,CL_0002535,UBERON_0000002,UBERON_0000002,BTO_0000568,BTO_0000567
left ventricle_DCM_LV1009,A,-,-,CL_0002494,CL_0002494,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001629
HCT116 TP53-/-_Nutlin3A,CL,CLO_0003665,CLO_0003665,CL_0011108,CL_0011108,UBERON_0001155,UBERON_0001155,BTO_0001109,BTO_0001109
HUVECs_TNF0min,CL,CLO_0004307,CLO_0037857,CL_0002618,CL_0002618,UBERON_0002331,UBERON_0002331,BTO_0001949,BTO_0001949
Macrophages_GM-CSF_72h,CT,-,-,CL_0000235,CL_0000235,UBERON_0000178,UBERON_0000178,BTO_0000801,BTO_0000801
Ik6pre-BALL+TET-emptyvector,CT,-,-,CL_0000988,CL_0000988,UBERON_0000178,UBERON_0000178,-,-
gm12891,CL,CLO_0022859,CLO_0026555,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000178,-,-
FLP76,CL,-,-,CL_1000497,-,UBERON_0002113,-,-,-
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,-,CL_0002540,CL_0002555,UBERON_0002371,UBERON_0002371,-,BTO_0003296
ILC1,CT,-,-,CL_0001067,CL_0000658,UBERON_0002405,UBERON_0002405,-,-
GM18486,CL,CLO_0024943,CLO_0025133,CL_0000236,CL_0017005,UBERON_0000178,UBERON_0000178,-,-
GLC16,CL,-,CLO_0053353,CL_0000082,CL_0002563,UBERON_0002048,UBERON_0000945,-,-
IMR90_#2,CL,CLO_0006951,CLO_0006951,CL_0002553,CL_0002542,UBERON_0002048,UBERON_0002048,BTO_0001229,BTO_00012293
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,-,-,CL_0011020,CL_0011020,UBERON_0000922,UBERON_0002331,-,BTO_0003093
DIPGIV,CT,-,-,CL_0000125,CL_0000047,UBERON_0000955,UBERON_0001019,-,-
TTC549_Doxycycline,CL,-,-,-,-,UBERON_0002107,-,-,-
LREX,CL,-,-,CL_0002231,CL_2000000,UBERON_0002367,UBERON_0002113,-,-
Fetal_Kidney,A,-,-,CL_1000497,CL_1000497,UBERON_0002113,UBERON_0002113,BTO_0000671,BTO_0000776
